"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Adamts7",317.882436620655,-0.852859954511864,0.091388213543254,-9.33227515283692,1.03622264614858e-20,1.38519221021091e-18
"Dgkd",1699.37911484575,-0.822191845659337,0.0881377850655538,-9.32848318173437,1.0739679220502e-20,1.42084848903817e-18
"Plxna2",2546.67124112196,-1.54629570491018,0.165921225122919,-9.31945689145344,1.16937331065055e-20,1.53128241791617e-18
"Hk2",5102.91055635359,-1.15812817060667,0.124483396880178,-9.3034749985288,1.35928891724155e-20,1.76199542171322e-18
"Tmem159",763.89402400979,0.674902566948379,0.0733026018838598,9.20707518701301,3.35131943646137e-20,4.30074823281087e-18
"S100a4",323.231086952335,1.36771839391688,0.148805897647599,9.19129157875111,3.88152398605415e-20,4.93184131812207e-18
"Bcor",732.521020042566,-1.13357135194184,0.123380159170818,-9.18763081163181,4.01588513201169e-20,5.05253469599078e-18
"Ctnna3",711.11860542748,-0.783641707003047,0.0855328634545793,-9.16187854998197,5.10016189261077e-20,6.35440558911399e-18
"Rin3",509.364362832045,-0.778469605431744,0.0850347936461049,-9.15471858109698,5.44996724081818e-20,6.72494515398267e-18
"Herc2",1622.84671900043,-0.76560193736266,0.0836497651874152,-9.15246965305101,5.56465794799019e-20,6.80107194729125e-18
"Ino80d",662.768189237333,-0.645643927290594,0.070634356160746,-9.14064999504307,6.20780756993806e-20,7.51554665519011e-18
"Prkce",1093.74331448348,-0.707450474152229,0.0776165406116165,-9.11468700585642,7.88978797246358e-20,9.46258402342291e-18
"Jak1",4301.26030875441,-0.822103738505674,0.0902334869481726,-9.11084971123709,8.1739245008653e-20,9.71259010366708e-18
"Klhl24",5826.71460367983,-0.770289610791504,0.0846236552003728,-9.10253296158862,8.82492120980415e-20,1.0389927879396e-17
"Myo18b",5940.63516950489,-0.498629297008992,0.0548799891429937,-9.08581260301962,1.02926916470508e-19,1.20078283551457e-17
"Tmem164",636.385888497891,-0.850482566287447,0.0936809545109778,-9.07850022159825,1.10081178792717e-19,1.27267726797021e-17
"Sorbs1",15660.3463916844,-0.807598180077659,0.0889749913638799,-9.07668736684485,1.11929540598246e-19,1.28249267365829e-17
"Nol3",1114.97942687795,0.558820791119611,0.0619089443898318,9.02649522823062,1.77257886364516e-19,1.99539513659284e-17
"Cox19",637.936724386152,0.983701280897912,0.108968631229315,9.02738035524918,1.75830398901323e-19,1.99539513659284e-17
"Itga1",777.25858821965,-1.05935033092754,0.117456096306454,-9.01911747657267,1.89610582947503e-19,2.11588922692635e-17
"Rps28",481.991391370238,0.669078732382443,0.0743663544322207,8.99706241472759,2.31837760400827e-19,2.56480515450328e-17
"Ppm1e",286.175362729386,-1.13684388391921,0.126625084409397,-8.9780306107725,2.75656400799488e-19,3.02350306962379e-17
"Gltp",526.871701777282,0.590238491600232,0.0658860284031183,8.95847732676959,3.29192648628871e-19,3.58010954224941e-17
"Arntl",246.606860223809,1.59156049576601,0.177682342467433,8.95733629838722,3.32616025092826e-19,3.58694239497163e-17
"Peli1",496.199519942999,-0.819559613369424,0.0915110167580812,-8.95585736454021,3.37105589104073e-19,3.6050633541438e-17
"Dyrk2",305.978166177884,-0.670002010306966,0.0749121368626583,-8.94383791955272,3.75883693066358e-19,3.98654168026494e-17
"Cs",27777.7044804594,-0.58660766526367,0.0655964788252286,-8.94267002999647,3.79878707943685e-19,3.9958880811814e-17
"Rad21",2274.03086321076,-0.383013364142671,0.0428920353825483,-8.92970829494628,4.27133565361637e-19,4.45642686527308e-17
"Serpinb1c",30.3189043376297,2.10625450400468,0.235969985153394,8.92594243558344,4.41920293600024e-19,4.5735186514267e-17
"Mfsd4a",54.4647788368894,1.56009559960981,0.174917677418413,8.91902763994501,4.7039996977623e-19,4.82931424971069e-17
"Mtmr3",2005.1766642792,-0.466160960471383,0.0522762098987434,-8.91726774711317,4.7793320226013e-19,4.86771173381289e-17
"Brd1",957.369970445421,-0.678445708084007,0.0761111027820567,-8.91388619117409,4.92744012132398e-19,4.97904244700398e-17
"Obscn",15698.6942329546,-0.746610143079023,0.0838194474764205,-8.90736178246765,5.22612971204517e-19,5.23960332770904e-17
"Herpud1",7217.08191258545,-1.27038913302027,0.142705060200557,-8.90220102381,5.47499953871285e-19,5.44656349459705e-17
"Foxo3",823.044508335018,-1.19693870307047,0.134549800341304,-8.89587870092911,5.79588591392786e-19,5.72143107180279e-17
"Lrrc58",2314.47451979369,-1.11245826779863,0.125164412919085,-8.88797575807595,6.22322543880183e-19,6.09638565314076e-17
"Crebbp",654.730952638675,-0.821137437229758,0.0929282388604359,-8.83625308409193,9.89824055585179e-19,9.62303947373076e-17
"Dusp16",863.067779383167,-0.825282033429185,0.0935235483378692,-8.82432337198882,1.10123590993079e-18,1.0625684535445e-16
"Asap2",615.830924140262,-0.874328688283795,0.0991532435308184,-8.81795347433128,1.16570668642245e-18,1.11638163484025e-16
"Rps19",1635.97518425571,0.826706838064834,0.0937944172558143,8.81403032560114,1.20725377758586e-18,1.14760649835254e-16
"Naca",5771.00339291467,-0.834574671358557,0.0947409733595417,-8.80901516803452,1.26250104729631e-18,1.19129970146717e-16
"Susd6",6277.37392606556,-0.986577655012101,0.11207345421764,-8.80295572130954,1.3325914652316e-18,1.24825885206694e-16
"Cd163l1",9.31993080960958,5.36820076139916,0.610738644192115,8.78968575584441,1.49978877478695e-18,1.39469488020587e-16
"Hcn1",328.752357525881,-2.08588473055906,0.238192374349827,-8.75714319676569,2.00261177087394e-18,1.84888610472124e-16
"Dst",15047.6934657689,-1.04375508650725,0.119238976010419,-8.75347240835113,2.068864847559e-18,1.8964101849089e-16
"Cacna1g",333.53480752104,-1.44100798311499,0.164682050713676,-8.75024313135616,2.12893566924107e-18,1.93763343570005e-16
"Ptprm",1562.63641905302,-0.78069543981593,0.0892892992293688,-8.74343786493898,2.26122262295278e-18,2.04354013523613e-16
"Snhg11",32.2988051616398,2.64473479671976,0.30341416694659,8.71658308949467,2.86723566126068e-18,2.57309337349359e-16
"Rgma",779.110495664032,-0.910252176103664,0.104575834842908,-8.70423054686606,3.1973650735567e-18,2.84942958256619e-16
"Cd209f",24.5221107523917,4.02061110095405,0.462104176477735,8.70065951708137,3.29960878299268e-18,2.90026572000993e-16
"Cela1",24.9800657373932,2.09195395957007,0.240432366721868,8.70080009647804,3.29552343076808e-18,2.90026572000993e-16
"Lgr4",722.583966597386,-0.723969648996507,0.0834321273921166,-8.67734854217458,4.05102164497735e-18,3.51261897094556e-16
"Birc6",1485.80858820749,-0.799499013318085,0.0921306617558983,-8.67788202190896,4.03206975776434e-18,3.51261897094556e-16
"Ago2",983.687663443023,-0.713206314144272,0.0822194142792828,-8.67442708508788,4.15637653438068e-18,3.57978389702733e-16
"Prrc2c",1764.81014920223,-0.790712994431217,0.0912729379603152,-8.66317018057437,4.58822665717e-18,3.9253808460975e-16
"Rpl13a",6936.75476450658,0.874407346533163,0.100962843899064,8.66068459211925,4.68939397811422e-18,3.9853637696119e-16
"Hspg2",6157.52512170234,-0.949965411535728,0.109712225955137,-8.65870146435805,4.77168697814697e-18,4.02862230201053e-16
"Kat6a",1275.61236094289,-0.631250574020444,0.0730145902760578,-8.64554018085667,5.35513503264233e-18,4.49166325973196e-16
"Ank2",2503.29041936554,-1.06875233553631,0.123854011301578,-8.62912976580108,6.18205221608596e-18,5.15157636941761e-16
"Nr1h3",630.269375418388,0.885873241539521,0.102889672540488,8.60993353041259,7.31029507263631e-18,6.05245268820269e-16
"Tmed3",661.764446914259,0.737412994174856,0.0857024038487301,8.60434434810526,7.67542311186298e-18,6.31401953811139e-16
"Pex11a",285.756415191895,0.746102301089434,0.0867723364280702,8.59838897743538,8.08428907496738e-18,6.60800520376155e-16
"Pcdh17",149.946993932531,-1.21402619812234,0.141343409641528,-8.58919564202766,8.75802790413836e-18,7.11340329707643e-16
"Pir",159.716022560335,1.02923161437117,0.119853071373942,8.58744463176887,8.89249521687398e-18,7.17719440994615e-16
"Hlf",474.798836299565,-1.04191769423452,0.121505320536918,-8.57507876717171,9.90190062137358e-18,7.94194316713044e-16
"Ppip5k2",3057.59953666158,-1.21101421087506,0.14128507175996,-8.57142368821912,1.02213440084966e-17,8.14723650068553e-16
"Crip1",1038.25217662694,1.23263091797227,0.144057576213221,8.55651573748432,1.16329963685189e-17,9.21520014797552e-16
"3425401B19Rik",2266.34657908199,-0.884850278476673,0.103629694273525,-8.53857849026518,1.35883077508502e-17,1.06980830286295e-15
"Tmcc1",845.692339699754,-0.668959006856947,0.0785151916723291,-8.52012193574899,1.59385425491731e-17,1.2471909544728e-15
"Phip",856.915414207379,-0.774780910361681,0.0909503034476223,-8.51872815144452,1.61314995069757e-17,1.25463959498799e-15
"Sik3",1723.43717031861,-0.850656708981179,0.0998777502575146,-8.51697907479827,1.63769075661857e-17,1.26605334214976e-15
"Mon2",1346.58352875263,-0.654430679403312,0.0768867019705138,-8.51162376108014,1.71514331724134e-17,1.31799007126696e-15
"Insr",3949.45833414658,-0.782168913673332,0.0920118139696748,-8.50074441452833,1.88378722108728e-17,1.43896675048888e-15
"Myh7",2012.91789420588,2.13461642596262,0.251308065105916,8.49402276470103,1.9960518643522e-17,1.51570021155217e-15
"Gata6",1362.23702458743,-0.619232430363104,0.0731482298318482,-8.46544655675994,2.55173101563569e-17,1.92625671315605e-15
"Pcdh7",3860.26612751296,-0.737664669439442,0.0871597821699504,-8.46336063576996,2.59780803799081e-17,1.94957137728281e-15
"Fndc3b",1687.90113722432,-0.837178686616251,0.0989844791175798,-8.45767633551721,2.72757908993476e-17,2.0350594454147e-15
"Gm12191",786.570067410302,0.52610855224084,0.0623467781274688,8.43842405400973,3.21644843687416e-17,2.38593542141076e-15
"Mfap4",363.364140755931,-1.39067524836013,0.164995847361945,-8.4285469640303,3.49983708509378e-17,2.58123042028784e-15
